latitude,longitude,name,address,map_url
48.832281,2.3460700000000543,Van Long,"9 Rue du Champ de l'Alouette, 75013 Paris, France",http://www.openstreetmap.org/?mlat=48.832281&mlon=2.3460700000000543#map=4/48.832281/2.3460700000000543/m
49.184474,-0.35975699999994504,Dolly's,"16 Avenue de la Libération, 14000 Caen, France",http://www.openstreetmap.org/?mlat=49.184474&mlon=-0.35975699999994504#map=4/49.184474/-0.35975699999994504/m
48.815483,2.3205070000000205,Le Titi Touareg,"92 Avenue Henri Ginoux, 92120 Montrouge",http://www.openstreetmap.org/?mlat=48.815483&mlon=2.3205070000000205#map=4/48.815483/2.3205070000000205/m
46.5215074,6.63999519999993,Le Nil Bleu,"Place de l'Ours 1, 1005 Lausanne, Suisse",http://www.openstreetmap.org/?mlat=46.5215074&mlon=6.63999519999993#map=4/46.5215074/6.63999519999993/m
52.376602,4.894639999999981,TerraZen Centre,"Sint Jacobsstraat 19 HS, 1012 NC Amsterdam, Pays-Bas",http://www.openstreetmap.org/?mlat=52.376602&mlon=4.894639999999981#map=4/52.376602/4.894639999999981/m
46.946945,7.442001000000005,Tibits — Bern,"Gurtengasse 3, 3011 Bern, Suisse",http://www.openstreetmap.org/?mlat=46.946945&mlon=7.442001000000005#map=4/46.946945/7.442001000000005/m
46.985813,6.837598999999955,L'Aubier Eco-Hôtel Montezillon,"Les Murailles 5, 2037 Montézillon, Suisse",http://www.openstreetmap.org/?mlat=46.985813&mlon=6.837598999999955#map=4/46.985813/6.837598999999955/m
46.990594,6.929993999999965,L'Ami Ami,"Rue du Bassin 8, 2000 Neuchâtel, Suisse",http://www.openstreetmap.org/?mlat=46.990594&mlon=6.929993999999965#map=4/46.990594/6.929993999999965/m
49.253018,4.02842499999997,Le Cèdre du Liban,"5, avenue du Maine 75015 Paris",http://www.openstreetmap.org/?mlat=49.253018&mlon=4.02842499999997#map=4/49.253018/4.02842499999997/m
43.614082,3.877318999999943,L'oignon givré,"46 Rue de l'Université, 34000 Montpellier, France",http://www.openstreetmap.org/?mlat=43.614082&mlon=3.877318999999943#map=4/43.614082/3.877318999999943/m
11.2520958,-85.87030199999998,Buddha's Garden,"Avenida la Bolsa, San Juan Del Sur, Nicaragua",http://www.openstreetmap.org/?mlat=11.2520958&mlon=-85.87030199999998#map=4/11.2520958/-85.87030199999998/m
48.882816,2.373328000000015,Les Marmites Volantes,"69 Rue Armand Carrel, 75019 Paris, France",http://www.openstreetmap.org/?mlat=48.882816&mlon=2.373328000000015#map=4/48.882816/2.373328000000015/m
48.871558,2.3505420000000186,La Petite Chaufferie,"32 Rue de l'Échiquier, 75010 Paris, France",http://www.openstreetmap.org/?mlat=48.871558&mlon=2.3505420000000186#map=4/48.871558/2.3505420000000186/m
48.86125,2.3605969999999843,Yuman,"70 Rue du Chevaleret, 75013 Paris",http://www.openstreetmap.org/?mlat=48.86125&mlon=2.3605969999999843#map=4/48.86125/2.3605969999999843/m
48.880667,2.3440650000000005,Pizza di Loretta,"62 Rue Rodier, 75009 Paris, France",http://www.openstreetmap.org/?mlat=48.880667&mlon=2.3440650000000005#map=4/48.880667/2.3440650000000005/m
50.635617,3.063382000000047,Le Pain Quotidien — Lille Rihour,"35 Place Rihour, 59800 Lille, France",http://www.openstreetmap.org/?mlat=50.635617&mlon=3.063382000000047#map=4/50.635617/3.063382000000047/m
48.866968,2.2787049999999454,Le Pain Quotidien — Paris Victor Hugo,"150 Avenue Victor Hugo, 75116 Paris",http://www.openstreetmap.org/?mlat=48.866968&mlon=2.2787049999999454#map=4/48.866968/2.2787049999999454/m
37.39024700000001,-6.001637999999957,Gaia,"Calle Luis de Vargas, 4, 41001 Sevilla, Sevilla, Espagne",http://www.openstreetmap.org/?mlat=37.39024700000001&mlon=-6.001637999999957#map=4/37.39024700000001/-6.001637999999957/m
43.610145,3.87935200000004,Tripti Kulai,"20 Rue Jacques Cœur, 34000 Montpellier",http://www.openstreetmap.org/?mlat=43.610145&mlon=3.87935200000004#map=4/43.610145/3.87935200000004/m
